,Relative_Gill_Area_Studies
0,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4894&GenusName=Acentrogobius&SpeciesName=caninus&fc=405&stockcode=5127
1,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=2065&GenusName=Acipenser&SpeciesName=stellatus&fc=32&stockcode=2260
2,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=99&GenusName=Alepisaurus&SpeciesName=ferox&fc=171&stockcode=113
3,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1580&GenusName=Alosa&SpeciesName=kessleri&fc=43&stockcode=1773
4,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=3022&GenusName=Ameiurus&SpeciesName=nebulosus&fc=129&stockcode=3218
5,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=495&GenusName=Anabas&SpeciesName=testudineus&fc=426&stockcode=511
6,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=35&GenusName=Anguilla&SpeciesName=anguilla&fc=49&stockcode=45
7,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&fc=49&stockcode=310
8,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=441&GenusName=Archosargus&SpeciesName=probatocephalus&fc=330&stockcode=455
9,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=7327&GenusName=Balistes&SpeciesName=capriscus&fc=445&stockcode=7628
10,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=6377&GenusName=Barbatula&SpeciesName=barbatula&fc=692&stockcode=6696
11,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=3837&GenusName=Bathygobius&SpeciesName=soporator&fc=405&stockcode=4033
12,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4471&GenusName=Blicca&SpeciesName=bjoerkna&fc=122&stockcode=4669
13,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4901&GenusName=Boleophthalmus&SpeciesName=boddarti&fc=405&stockcode=5134
14,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1592&GenusName=Brevoortia&SpeciesName=tyrannus&fc=43&stockcode=1785
15,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=23&GenusName=Callionymus&SpeciesName=lyra&fc=435&stockcode=34
16,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1933&GenusName=Caranx&SpeciesName=crysos&fc=314&stockcode=2129
17,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=271&GenusName=Carassius&SpeciesName=auratus&fc=122&stockcode=285
18,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=2965&GenusName=Catostomus&SpeciesName=commersonii&fc=125&stockcode=3161
19,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=361&GenusName=Centropristis&SpeciesName=striata&fc=289&stockcode=375
20,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=473&GenusName=Chaenocephalus&SpeciesName=aceratus&fc=384&stockcode=487
21,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=5133&GenusName=Champsocephalus&SpeciesName=esox&fc=384&stockcode=5369
22,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=5147&GenusName=Channa&SpeciesName=punctata&fc=431&stockcode=5385
23,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=343&GenusName=Channa&SpeciesName=striata&fc=431&stockcode=357
24,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=477&GenusName=Channichthys&SpeciesName=rhinoceratus&fc=384&stockcode=491
25,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=6407&GenusName=Chilomycterus&SpeciesName=schoepfii&fc=449&stockcode=6728
26,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4878&GenusName=Chondrostoma&SpeciesName=nasus&fc=122&stockcode=5108
27,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1290&GenusName=Ciliata&SpeciesName=mustela&fc=505&stockcode=1307
28,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4494&GenusName=Cirrhinus&SpeciesName=cirrhosus&fc=122&stockcode=4692
29,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=3054&GenusName=Clarias&SpeciesName=batrachus&fc=139&stockcode=3250
30,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=24&GenusName=Clupea&SpeciesName=harengus&fc=43&stockcode=32
31,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=6378&GenusName=Cobitis&SpeciesName=taenia&fc=127&stockcode=6697
32,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=301&GenusName=Conger&SpeciesName=conger&fc=62&stockcode=315
33,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=6&GenusName=Coryphaena&SpeciesName=hippurus&fc=315&stockcode=1884
34,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=2439&GenusName=Cottus&SpeciesName=gobio&fc=277&stockcode=2633
35,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=79&GenusName=Ctenopharyngodon&SpeciesName=idella&fc=122&stockcode=88
36,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=406&GenusName=Cynoscion&SpeciesName=regalis&fc=331&stockcode=420
37,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1450&GenusName=Cyprinus&SpeciesName=carpio&fc=122&stockcode=1643
38,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=2467&GenusName=Echeneis&SpeciesName=naucrates&fc=313&stockcode=2661
39,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=66&GenusName=Engraulis&SpeciesName=encrasicolus&fc=454&stockcode=76
40,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=258&GenusName=Esox&SpeciesName=lucius&fc=74&stockcode=272
41,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=97&GenusName=Euthynnus&SpeciesName=alletteratus&fc=416&stockcode=111
42,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=68&GenusName=Eutrigla&SpeciesName=gurnardus&fc=266&stockcode=78
43,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4439&GenusName=Gibelion&SpeciesName=catla&fc=122&stockcode=4637
44,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4902&GenusName=Gobius&SpeciesName=auratus&fc=405&stockcode=5135
45,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=72&GenusName=Gobius&SpeciesName=niger&fc=405&stockcode=81
46,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4474&GenusName=Gymnocephalus&SpeciesName=cernua&fc=306&stockcode=4672
47,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4885&GenusName=Heteropneustes&SpeciesName=fossilis&fc=140&stockcode=5116
48,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=5305&GenusName=Hoplerythrinus&SpeciesName=unitaeniatus&fc=103&stockcode=5544
49,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=50704&GenusName=Hoplias&SpeciesName=lacerdae&fc=103&stockcode=42386
50,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4757&GenusName=Hoplias&SpeciesName=malabaricus&fc=103&stockcode=4981
51,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=3921&GenusName=Hyperoglyphe&SpeciesName=perciformis&fc=421&stockcode=4117
52,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=752&GenusName=Isurus&SpeciesName=oxyrinchus&fc=9&stockcode=768
53,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=107&GenusName=Katsuwonus&SpeciesName=pelamis&fc=416&stockcode=121
54,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=82&GenusName=Labeo&SpeciesName=rohita&fc=122&stockcode=97
55,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4582&GenusName=Labrus&SpeciesName=merula&fc=362&stockcode=4768
56,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=2063&GenusName=Latimeria&SpeciesName=chalumnae&fc=30&stockcode=2258
57,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=9200&GenusName=Lipophrys&SpeciesName=pholis&fc=392&stockcode=9521
58,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=716&GenusName=Lophius&SpeciesName=piscatorius&fc=190&stockcode=732
59,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=310&GenusName=Lota&SpeciesName=lota&fc=505&stockcode=324
60,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=5909&GenusName=Megachasma&SpeciesName=pelagios&fc=519&stockcode=6218
61,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=29&GenusName=Merlangius&SpeciesName=merlangus&fc=183&stockcode=39
62,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=3382&GenusName=Micropterus&SpeciesName=dolomieu&fc=302&stockcode=3578
63,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4790&GenusName=Misgurnus&SpeciesName=fossilis&fc=127&stockcode=5018
64,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4898&GenusName=Mistichthys&SpeciesName=luzonensis&fc=405&stockcode=5131
65,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1732&GenusName=Mola&SpeciesName=mola&fc=450&stockcode=1928
66,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=353&GenusName=Morone&SpeciesName=saxatilis&fc=487&stockcode=367
67,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=785&GenusName=Mugil&SpeciesName=cephalus&fc=359&stockcode=801
68,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1329&GenusName=Myoxocephalus&SpeciesName=scorpius&fc=277&stockcode=1347
69,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=5140&GenusName=Mystus&SpeciesName=cavasius&fc=130&stockcode=5377
70,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=5137&GenusName=Mystus&SpeciesName=vittatus&fc=130&stockcode=5375
71,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=239&GenusName=Oncorhynchus&SpeciesName=mykiss&fc=76&stockcode=253
72,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=3069&GenusName=Opsanus&SpeciesName=tau&fc=189&stockcode=3265
73,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=2&GenusName=Oreochromis&SpeciesName=niloticus&fc=349&stockcode=1430
74,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=445&GenusName=Pagrus&SpeciesName=major&fc=330&stockcode=459
75,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1338&GenusName=Paralichthys&SpeciesName=dentatus&fc=514&stockcode=1356
76,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=5134&GenusName=Patagonotothen&SpeciesName=tessellata&fc=382&stockcode=5370
77,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=492&GenusName=Peprilus&SpeciesName=triacanthus&fc=425&stockcode=508
78,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=358&GenusName=Perca&SpeciesName=fluviatilis&fc=306&stockcode=372
79,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=7480&GenusName=Periophthalmus&SpeciesName=argentilineatus&fc=405&stockcode=7782
80,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=12803&GenusName=Periophthalmus&SpeciesName=barbarus&fc=405&stockcode=13130
81,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1341&GenusName=Platichthys&SpeciesName=flesus&fc=440&stockcode=1359
82,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1342&GenusName=Pleuronectes&SpeciesName=platessa&fc=440&stockcode=1360
83,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1343&GenusName=Pollachius&SpeciesName=virens&fc=183&stockcode=1361
84,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=364&GenusName=Pomatomus&SpeciesName=saltatrix&fc=311&stockcode=378
85,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=524&GenusName=Pseudopleuronectes&SpeciesName=americanus&fc=440&stockcode=540
86,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=2059&GenusName=Raja&SpeciesName=clavata&fc=19&stockcode=2254
87,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4884&GenusName=Rita&SpeciesName=rita&fc=130&stockcode=5115
88,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=272&GenusName=Rutilus&SpeciesName=rutilus&fc=122&stockcode=286
89,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=238&GenusName=Salmo&SpeciesName=trutta&fc=76&stockcode=252
90,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=360&GenusName=Sander&SpeciesName=lucioperca&fc=306&stockcode=374
91,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=3516&GenusName=Sander&SpeciesName=vitreus&fc=306&stockcode=4888
92,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=115&GenusName=Sarda&SpeciesName=sarda&fc=416&stockcode=129
93,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=2596&GenusName=Scaphirhynchus&SpeciesName=platorynchus&fc=32&stockcode=2792
94,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=7487&GenusName=Scartelaos&SpeciesName=histophorus&fc=405&stockcode=7789
95,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=118&GenusName=Scomber&SpeciesName=scombrus&fc=416&stockcode=132
96,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=126&GenusName=Scomberomorus&SpeciesName=maculatus&fc=416&stockcode=140
97,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=845&GenusName=Scyliorhinus&SpeciesName=canicula&fc=10&stockcode=861
98,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=854&GenusName=Scyliorhinus&SpeciesName=stellaris&fc=10&stockcode=870
99,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=381&GenusName=Seriola&SpeciesName=quinqueradiata&fc=314&stockcode=395
100,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1181&GenusName=Sphoeroides&SpeciesName=maculatus&fc=448&stockcode=1197
101,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4887&GenusName=Spicara&SpeciesName=maena&fc=330&stockcode=5119
102,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=139&GenusName=Squalus&SpeciesName=acanthias&fc=13&stockcode=153
103,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=452&GenusName=Stenotomus&SpeciesName=chrysops&fc=330&stockcode=466
104,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=59&GenusName=Symphodus&SpeciesName=melops&fc=362&stockcode=69
105,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4899&GenusName=Taenioides&SpeciesName=cirratus&fc=405&stockcode=5132
106,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1361&GenusName=Taurulus&SpeciesName=bubalis&fc=277&stockcode=1379
107,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=458&GenusName=Tautoga&SpeciesName=onitis&fc=362&stockcode=472
108,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1596&GenusName=Tenualosa&SpeciesName=ilisha&fc=43&stockcode=1789
109,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=143&GenusName=Thunnus&SpeciesName=albacares&fc=416&stockcode=157
110,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=147&GenusName=Thunnus&SpeciesName=thynnus&fc=416&stockcode=161
111,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=269&GenusName=Tinca&SpeciesName=tinca&fc=122&stockcode=283
112,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1365&GenusName=Trachurus&SpeciesName=trachurus&fc=314&stockcode=1383
113,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1288&GenusName=Trichiurus&SpeciesName=lepturus&fc=415&stockcode=1305
114,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4897&GenusName=Trypauchen&SpeciesName=vagina&fc=405&stockcode=5130
115,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1370&GenusName=Zeus&SpeciesName=faber&fc=249&stockcode=1388
116,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=479&GenusName=Zoarces&SpeciesName=viviparus&fc=188&stockcode=493
